timestamp,open,high,low,close,volume
1735862400000,96967.6,97045.1,96760.0,96799.9,3127.2880000000005
1735866000000,96799.9,96988.0,96622.0,96960.5,3060.2940000000003
1735869600000,96960.6,97325.7,96825.0,96938.0,3661.9269999999997
1735873200000,96938.1,97065.8,96785.7,97019.1,1539.1170000000002
1735876800000,97019.1,97034.9,96721.9,96777.7,2087.706
1735880400000,96779.3,96833.9,96555.0,96727.3,3071.717
1735884000000,96727.3,96884.6,96460.4,96504.8,2913.3009999999995
1735887600000,96504.7,96614.8,96236.6,96275.0,6420.965
1735891200000,96275.1,96497.0,96068.0,96090.6,5565.314
1735894800000,96090.6,96673.8,96061.5,96511.8,4941.9619999999995
1735898400000,96511.8,96609.9,96362.3,96443.9,2275.1090000000004
1735902000000,96443.8,96788.0,96439.5,96710.5,3327.3469999999998
1735905600000,96710.4,96886.1,96615.3,96615.4,3329.8869999999997
1735909200000,96615.3,96797.6,96422.5,96464.1,4620.659
1735912800000,96464.0,97321.0,96464.0,96970.4,12345.567
1735916400000,96970.4,97637.7,96707.3,97479.5,13608.294000000002
1735920000000,97480.9,98423.0,97353.6,97822.3,16372.957
1735923600000,97822.4,98259.8,97784.3,97986.8,5541.175
1735927200000,97986.8,98665.0,97955.0,98483.7,6684.239
1735930800000,98483.7,98949.0,98451.9,98545.5,7942.652
1735934400000,98545.6,98705.0,98248.5,98269.5,5463.411
1735938000000,98269.5,98383.2,98143.6,98222.7,2800.3
1735941600000,98222.6,98481.1,98200.0,98258.8,2056.984
1735945200000,98258.8,98341.0,98028.5,98145.7,2462.502
